name	males	females	total	medianage	25thpercentile	75thpercentile
saladin	141	0	141	42.0	36.0	49.0
gilma	0	198	198	35.0	26.0	46.75
joshuel	5	0	5	16.0	16.0	16.0
willodine	0	10	10	83.0	82.0	84.0
jimetta	0	5	5	67.0	67.0	67.0
jimette	0	11	11	59.0	52.0	59.0
aysha	0	1338	1338	22.0	18.0	28.0
shanquetta	0	34	34	26.0	25.0	27.0
annibale	5	0	5	92.0	92.0	92.0
saajan	46	0	46	22.0	19.0	23.0
kasra	75	0	75	21.0	16.5	25.0
charline	0	5893	5893	60.0	43.0	72.0
suly	0	32	32	24.0	19.0	30.0
charlina	0	151	151	33.0	28.0	43.0
kyell	12	0	12	15.0	15.0	16.0
morelia	0	207	207	18.0	16.0	19.0
anji	0	57	57	42.0	40.0	43.0
cherhonda	0	8	8	40.0	40.0	40.0
quaveon	5	0	5	20.0	20.0	20.0
victorian	0	92	92	20.0	18.0	24.0
cindra	0	604	604	57.0	50.75	61.0
anjellica	0	44	44	22.0	20.0	24.0
sulo	220	0	220	96.0	92.0	100.0
anju	0	115	115	26.0	20.0	35.0
kaili	11	1023	1034	21.0	17.0	26.0
sejal	0	444	444	31.0	22.0	37.0
sule	0	5	5	39.0	39.0	39.0
savanah	0	4706	4706	19.0	17.0	23.0
sula	0	822	822	72.0	66.0	81.0
shamequa	0	24	24	24.0	23.0	30.0
merwyn	786	10	796	73.0	64.0	79.0
raevan	0	26	26	18.0	16.0	19.0
jigar	147	0	147	25.0	21.0	31.0
saagar	84	0	84	22.0	19.0	25.0
lorisha	0	10	10	27.5	23.0	32.0
trachelle	0	78	78	25.0	22.0	29.0
michuel	5	0	5	58.0	58.0	58.0
daquez	22	0	22	17.0	15.25	19.5
aryonna	0	109	109	17.0	16.0	19.0
rupa	0	153	153	35.0	32.0	40.0
ketsy	0	7	7	46.0	46.0	46.0
shayleah	0	5	5	16.0	16.0	16.0
simeon	4363	20	4383	30.0	20.0	41.0
davarius	161	0	161	20.0	17.0	23.0
hafeez	5	0	5	21.0	21.0	21.0
adolpho	227	0	227	45.0	33.0	60.0
colleene	0	120	120	62.0	55.0	80.25
adolpha	0	5	5	99.0	99.0	99.0
trichelle	0	122	122	32.0	27.0	39.0
adolphe	295	0	295	84.0	78.0	93.5
matina	0	306	306	39.0	31.0	45.0
trameka	0	131	131	35.0	31.0	38.0
nhat	25	0	25	22.0	15.0	23.0
teaona	0	6	6	21.0	21.0	21.0
amiya	0	434	434	15.0	15.0	17.0
deagan	21	0	21	16.0	16.0	18.0
kieva	0	26	26	36.0	26.0	37.0
analysa	0	123	123	19.0	17.0	22.0
solana	0	412	412	22.0	18.0	27.0
latray	31	0	31	21.0	18.0	23.0
caylan	120	138	258	21.0	19.0	24.0
merelyn	0	122	122	71.0	64.0	78.25
hashir	5	0	5	17.0	17.0	17.0
hashim	615	0	615	28.0	20.0	37.0
montrelle	76	0	76	25.0	23.0	27.25
arlton	10	0	10	92.5	89.75	95.25
cydne	0	175	175	27.0	20.0	56.0
jahkai	11	0	11	18.0	15.0	18.0
cydni	0	346	346	20.0	18.0	25.0
demeisha	0	68	68	22.0	19.75	24.0
jamanda	0	46	46	23.5	22.0	25.0
jeffary	35	0	35	50.0	48.0	52.0
aunyae	0	24	24	17.0	15.0	18.0
illya	330	31	361	48.0	43.0	49.0
kaitee	0	6	6	22.0	22.0	22.0
roanld	20	0	20	46.0	44.0	47.0
raymunda	0	5	5	93.0	93.0	93.0
lundyn	0	47	47	18.0	16.0	21.0
madaleno	6	0	6	62.0	62.0	62.0
tyeishia	0	5	5	22.0	22.0	22.0
qunita	0	22	22	31.5	28.0	35.0
allyana	0	20	20	15.5	15.0	16.25
francessca	0	62	62	22.0	17.0	27.0
kaily	0	660	660	20.0	17.0	24.0
imran	1031	0	1031	26.0	20.0	31.75
notorious	24	0	24	18.0	17.5	20.0
merta	0	5	5	99.0	99.0	99.0
lafrances	0	34	34	52.0	49.0	55.0
jametra	0	22	22	32.0	29.0	33.0
dyshawn	175	0	175	21.0	18.0	25.0
anntoinette	0	376	376	43.0	30.0	52.0
travaughn	112	0	112	20.5	18.0	23.0
donchevell	6	0	6	21.0	21.0	21.0
ledon	64	0	64	49.0	41.0	59.0
mykyla	0	6	6	20.0	20.0	20.0
jiovanna	0	52	52	19.5	18.0	21.0
chrstopher	74	0	74	32.0	29.0	41.0
yaneisy	0	5	5	16.0	16.0	16.0
eugonda	0	5	5	71.0	71.0	71.0
garwin	22	0	22	63.0	53.0	65.0
zykeem	5	0	5	17.0	17.0	17.0
kadjah	0	16	16	21.0	21.0	22.0
casonya	0	51	51	41.0	39.0	45.0
ihla	0	16	16	83.0	78.5	83.0
tyrina	0	127	127	30.0	22.0	37.0
tyrine	0	5	5	41.0	41.0	41.0
armari	0	10	10	16.5	15.0	18.0
melik	182	0	182	19.0	17.0	20.0
ayrton	216	0	216	20.0	17.0	22.0
yumeka	0	46	46	40.0	37.0	42.0
jalean	22	0	22	20.0	16.0	21.0
jakyrah	0	6	6	15.0	15.0	15.0
tyeesha	0	225	225	27.0	23.0	32.0
pallie	0	93	93	84.0	81.0	93.5
otniel	48	0	48	21.0	18.5	24.75
kierra	18	9478	9496	20.0	18.0	24.0
yasleen	0	5	5	20.0	20.0	20.0
jaleal	11	0	11	15.0	15.0	19.0
kierre	213	78	291	23.0	19.0	26.0
alazar	5	0	5	16.0	16.0	16.0
zeola	0	512	512	74.0	64.0	83.0
dewarren	97	0	97	36.0	30.0	40.0
raymundo	6900	0	6900	32.0	21.0	47.0
latrae	6	0	6	21.0	21.0	21.0
kamie	0	990	990	34.0	26.0	42.0
leaira	0	18	18	17.0	16.0	22.25
nilofar	0	12	12	20.5	19.0	22.0
nattalie	0	77	77	21.0	17.0	25.0
tracilynn	0	6	6	43.0	43.0	43.0
aronde	24	0	24	15.0	15.0	16.0
duayne	283	0	283	54.0	48.0	64.0
issis	0	20	20	16.0	15.0	17.0
lissie	0	563	563	75.0	62.0	83.75
pompey	6	0	6	74.0	74.0	74.0
ion	120	0	120	33.0	20.0	42.0
anacecilia	0	27	27	20.0	16.0	25.0
mahsa	0	63	63	23.0	19.5	25.0
darryel	244	0	244	53.0	49.0	58.0
issie	5	6	11	95.0	94.0	96.0
reyanne	0	40	40	18.0	17.0	20.0
alexyss	0	264	264	17.0	16.0	18.0
murvin	189	0	189	69.0	57.0	81.0
dymon	10	229	239	18.0	16.0	21.0
jujuan	308	5	313	22.0	18.0	32.0
brijette	0	25	25	26.0	25.0	32.0
demerrick	5	0	5	41.0	41.0	41.0
anuradha	0	115	115	34.0	25.0	41.0
gurman	6	0	6	15.0	15.0	15.0
zaniya	0	91	91	16.0	15.0	17.0
leonarda	0	934	934	58.0	41.0	72.0
mylynn	0	25	25	19.0	18.0	23.0
sarahbeth	0	131	131	28.0	23.0	34.0
taiana	0	27	27	19.0	17.5	24.0
leonardo	18244	69	18313	25.0	18.0	38.0
trucilla	0	5	5	68.0	68.0	68.0
menal	0	5	5	15.0	15.0	15.0
jaquarious	63	0	63	16.0	15.0	18.0
aliene	0	706	706	74.5	64.25	83.0
lasharee	0	6	6	22.0	22.0	22.0
aarti	0	324	324	29.0	21.0	34.0
blaine	23454	747	24201	36.0	24.0	53.0
karelyn	0	31	31	19.0	15.0	25.0
shankeria	0	8	8	16.0	16.0	16.0
kariah	0	79	79	19.0	17.0	22.0
suesan	0	61	61	51.0	42.0	61.5
karian	0	36	36	29.0	22.0	39.0
glenroy	150	0	150	35.0	25.0	62.25
adrianah	0	30	30	16.5	15.25	17.0
ronda	359	34183	34542	50.0	45.0	55.0
charlain	0	5	5	62.0	62.0	62.0
kernis	6	0	6	64.0	64.0	64.0
rondo	33	0	33	47.0	42.5	55.5
chaslynn	0	6	6	18.0	18.0	18.0
rondi	7	595	602	52.0	43.0	59.0
madhavi	0	54	54	37.5	20.0	42.0
tolani	0	5	5	16.0	16.0	16.0
everetta	0	28	28	97.0	93.0	98.0
ewanda	0	5	5	52.0	52.0	52.0
kajon	16	0	16	16.0	15.0	21.0
kajol	0	55	55	17.0	16.0	18.0
zabria	0	12	12	16.0	16.0	19.0
kernie	28	0	28	69.0	56.0	81.0
rondy	401	0	401	50.0	42.5	58.0
deesha	0	11	11	35.0	23.0	35.0
ilissa	0	236	236	27.0	23.0	31.5
tayvia	0	33	33	17.0	16.0	19.0
jarrot	11	0	11	35.0	22.0	35.0
finnis	61	0	61	88.0	82.0	93.0
kentrall	12	0	12	24.0	23.0	24.0
denasha	0	29	29	20.0	19.0	21.0
azar	11	0	11	23.0	23.0	42.0
elpidia	0	74	74	71.0	34.0	80.0
shakarra	0	24	24	25.0	23.0	28.0
sabah	0	283	283	23.0	19.0	28.0
azah	0	5	5	16.0	16.0	16.0
finnie	25	5	30	82.0	81.0	83.0
jarrod	22995	65	23060	32.0	25.0	37.0
saban	10	0	10	17.0	16.0	18.0
azam	66	0	66	21.0	18.0	26.25
lakena	0	85	85	34.0	29.0	39.0
cleburn	124	0	124	83.0	75.0	93.5
nuncio	20	0	20	92.0	91.5	93.5
coriene	0	55	55	87.5	82.25	92.75
najha	0	33	33	20.0	19.0	22.0
loucas	8	0	8	34.0	34.0	34.0
jodean	0	447	447	55.0	49.0	62.0
dekwon	6	0	6	18.0	18.0	18.0
ryenne	0	43	43	16.0	15.0	18.0
rury	30	0	30	21.0	20.0	22.0
shaqualla	0	41	41	23.0	22.0	26.0
kennon	1323	20	1343	38.0	26.0	51.25
dequone	5	0	5	21.0	21.0	21.0
remon	151	0	151	35.0	23.0	41.0
jehiel	21	0	21	16.0	15.0	18.0
darroll	395	0	395	56.0	49.0	64.0
starisha	0	11	11	32.0	27.0	32.0
daianna	0	7	7	15.0	15.0	15.0
jolleen	0	132	132	36.0	31.0	41.0
breshawn	34	30	64	18.0	17.0	20.0
darrold	496	0	496	59.0	51.0	70.0
huner	8	0	8	21.0	21.0	21.0
dequon	141	0	141	20.0	17.0	22.0
sadaya	0	21	21	17.0	16.0	17.0
jhordyn	0	10	10	15.5	15.0	16.0
momoe	0	5	5	92.0	92.0	92.0
marston	252	0	252	66.0	48.0	74.0
secilia	0	137	137	20.0	18.0	24.0
eyona	0	11	11	15.0	15.0	17.0
eleina	0	5	5	16.0	16.0	16.0
ayah	0	592	592	18.0	16.0	21.0
kotina	0	20	20	43.0	42.0	43.0
earma	0	601	601	70.0	63.0	76.0
ayal	30	0	30	34.0	32.0	39.0
dessel	0	15	15	97.0	96.0	98.5
judah	2368	81	2449	24.0	18.0	35.0
leorn	24	0	24	85.0	81.25	86.5
johnvincent	10	0	10	23.5	19.0	28.0
deny	60	0	60	35.0	25.0	43.0
jeroen	6	0	6	24.0	24.0	24.0
ayaz	27	0	27	23.0	22.0	24.0
alicyn	0	411	411	25.0	19.0	34.0
dawnesha	0	51	51	24.0	22.5	29.0
granite	19	0	19	16.0	15.0	17.0
ferdinand	7290	0	7290	52.0	38.0	65.0
alicya	0	49	49	18.0	16.0	19.0
judas	150	0	150	33.0	20.0	38.0
ayat	0	132	132	21.0	18.0	24.0
leory	281	0	281	67.0	62.0	78.5
cutter	388	0	388	19.0	17.0	23.0
lanta	0	10	10	69.0	69.0	81.0
antione	3863	49	3912	33.0	26.0	40.0
denijah	0	10	10	16.0	16.0	16.0
anney	0	12	12	18.0	15.0	21.0
chua	0	24	24	27.5	25.5	29.0
chun	98	22	120	31.0	25.0	37.0
ulysees	391	0	391	65.0	60.0	75.0
remberto	69	0	69	32.0	25.0	38.0
anner	0	746	746	73.5	65.0	81.25
finnegan	169	0	169	15.0	15.0	17.0
fransica	0	10	10	41.0	40.0	42.0
annel	0	331	331	25.0	19.0	30.5
palmena	0	5	5	93.0	93.0	93.0
tyronne	1093	0	1093	42.0	34.0	50.0
datha	0	153	153	73.0	60.0	81.5
chiyeko	0	138	138	93.5	89.75	97.25
lantz	406	0	406	31.0	22.0	44.0
migelangel	9	0	9	16.0	16.0	16.0
alissha	0	27	27	35.0	27.0	37.0
verlen	17	6	23	77.0	74.0	83.0
danaja	0	60	60	16.0	15.0	18.0
sabrie	0	58	58	19.0	17.0	20.0
verlee	0	573	573	75.0	68.0	83.0
