Name	Males	Females	Total	MedianAge	25thPercentile	75thPercentile
Isley	24	64	88	17.0	16.0	22.0
Narvis	0	19	19	65.0	65.0	70.75
Shurman	22	0	22	71.0	69.0	77.5
Stearl	5	0	5	92.0	92.0	92.0
Dexter	24275	206	24481	42.0	27.0	52.0
Eann	12	0	12	17.0	15.0	19.0
Jamesia	0	476	476	22.0	18.0	27.0
Harvey	105857	661	106518	62.0	51.0	71.0
Jellisa	0	29	29	25.0	24.0	26.0
Shanitra	0	273	273	30.0	26.0	36.0
Destani	0	571	571	19.0	17.0	22.0
Zhoe	0	5	5	17.0	17.0	17.0
Sukhraj	11	0	11	21.0	21.0	22.0
Harvel	301	0	301	73.0	63.0	81.0
Yaneris	0	20	20	29.0	24.0	30.0
Tarlton	10	0	10	38.0	38.0	38.0
Halona	0	147	147	37.0	19.0	40.0
Bryanah	0	21	21	17.0	17.0	19.0
Delan	49	0	49	17.0	15.0	22.0
Dazhane	0	139	139	18.0	17.0	20.0
Landria	0	21	21	34.0	30.0	38.0
Vernor	118	0	118	76.0	59.5	87.0
Leilani	0	8584	8584	34.0	21.0	48.0
Jagmeet	10	0	10	16.5	16.0	17.0
Vernon	139258	1745	141003	57.0	45.0	67.0
Mersades	0	170	170	20.0	17.25	23.0
Jannat	0	29	29	16.0	15.0	18.0
Doshia	0	530	530	69.0	53.0	79.0
Golnaz	0	10	10	33.5	30.0	37.0
Lenzie	373	132	505	41.0	23.0	64.0
Taide	0	5	5	62.0	62.0	62.0
Randell	9419	148	9567	50.0	36.0	58.0
Leilany	0	133	133	17.0	16.0	21.0
Annetha	0	5	5	61.0	61.0	61.0
Glenna	5	24405	24410	64.0	54.0	72.0
Nisreen	0	178	178	23.0	19.0	28.0
Karoleigh	0	5	5	47.0	47.0	47.0
Mertis	10	458	468	74.0	68.0	82.0
Timtohy	80	0	80	30.0	28.0	35.0
Khareem	15	0	15	38.0	16.0	39.0
Aixa	0	425	425	31.0	21.0	43.75
Jasher	5	0	5	16.0	16.0	16.0
Gregson	5	0	5	52.0	52.0	52.0
Jacorien	6	0	6	15.0	15.0	15.0
Mertie	0	979	979	75.0	68.0	83.0
Tatayana	0	168	168	18.0	16.75	20.0
Nkauj	0	14	14	30.0	20.0	30.0
Patryck	50	0	50	19.0	17.0	22.0
Nakeda	0	48	48	30.0	28.0	38.0
Glenny	16	25	41	32.0	30.0	57.0
Zalaya	0	5	5	15.0	15.0	15.0
Mertin	5	0	5	91.0	91.0	91.0
Chadrick	2053	0	2053	34.0	27.0	39.0
Adamari	0	110	110	16.0	15.0	16.75
Indigo	89	635	724	20.0	17.0	22.0
Edgardo	4486	0	4486	29.0	22.0	42.0
Denero	5	0	5	25.0	25.0	25.0
Cheire	0	5	5	58.0	58.0	58.0
Davario	11	0	11	23.0	23.0	26.0
Shawauna	0	11	11	37.0	37.0	41.0
Taseen	5	0	5	16.0	16.0	16.0
Katreina	0	5	5	39.0	39.0	39.0
Alexuss	0	10	10	19.0	16.0	22.0
Anquetta	0	5	5	24.0	24.0	24.0
Kalimba	0	13	13	41.0	37.0	41.0
Tabiatha	0	23	23	44.0	38.0	44.0
Anquette	0	43	43	25.0	23.0	26.0
Chritopher	333	0	333	32.0	27.0	40.0
Dezaree	0	128	128	20.0	17.0	23.0
Kayce	32	2146	2178	27.0	21.0	33.0
Jovel	5	0	5	22.0	22.0	22.0
Lg	5	0	5	93.0	93.0	93.0
Ld	45	0	45	92.0	51.0	94.5
Le	736	849	1585	37.0	26.0	53.0
Lb	21	0	21	24.0	24.0	72.0
Lc	304	0	304	29.0	23.0	44.0
La	270	1378	1648	31.0	23.0	42.0
Lo	33	26	59	28.0	26.0	58.0
Trillion	10	0	10	20.5	16.0	25.0
Lj	43	0	43	22.0	21.0	25.0
Tramika	0	36	36	34.0	33.0	35.0
Vardell	30	0	30	64.0	64.0	84.0
Sekia	0	5	5	33.0	33.0	33.0
Bradrick	176	0	176	37.0	32.0	41.0
Lu	18	3880	3898	59.0	55.0	62.0
Ira	44935	4172	49107	57.0	43.0	67.0
Jehovany	5	0	5	21.0	21.0	21.0
Estanislao	181	0	181	33.0	26.0	55.0
Demarcio	11	0	11	24.0	17.0	24.0
Biafra	0	5	5	46.0	46.0	46.0
Laurica	0	5	5	32.0	32.0	32.0
Ly	114	259	373	30.0	24.0	33.0
Cheskel	215	0	215	26.0	19.0	37.0
Hewell	11	0	11	91.5	90.75	92.25
Yazmen	0	15	15	18.0	16.0	22.0
Navid	423	26	449	25.0	20.5	29.0
Amunet	0	9	9	15.0	15.0	15.0
Navil	5	117	122	25.0	24.0	26.0
Navin	370	0	370	26.0	19.0	34.0
Rakita	0	42	42	26.0	24.25	27.0
Baudel	6	0	6	15.0	15.0	15.0
Efthimia	0	29	29	36.0	28.0	37.0
Falcon	84	6	90	21.0	18.0	23.0
Markaya	0	10	10	18.0	17.0	19.0
Mihail	16	0	16	17.0	16.0	19.0
Dezarey	0	11	11	20.0	20.0	21.0
Shaquela	0	108	108	24.0	23.0	27.0
Maccoy	20	0	20	16.0	16.0	17.0
Gusta	0	299	299	85.0	80.0	95.0
Bates	48	0	48	84.0	56.0	90.75
Shelon	0	20	20	43.5	42.25	44.25
Aleeshia	0	6	6	25.0	25.0	25.0
Brentyn	69	0	69	19.0	18.0	21.0
Jurita	0	5	5	35.0	35.0	35.0
Rovilla	0	11	11	96.5	95.25	97.75
Shaquell	40	49	89	21.0	20.0	22.0
Mortez	25	0	25	27.0	26.0	27.0
Saburo	253	0	253	90.5	85.25	95.75
Jazalyn	0	41	41	19.0	16.0	21.0
Kittye	0	12	12	80.5	80.0	81.0
Addah	0	5	5	100.0	100.0	100.0
Briaunna	0	257	257	19.0	17.0	22.0
Tenneil	0	12	12	39.0	34.0	39.0
Addam	581	0	581	29.0	22.0	35.0
Jaquata	0	7	7	33.0	33.0	33.0
Vikrant	43	0	43	19.0	17.5	25.0
Suellyn	0	291	291	63.5	55.0	69.0
Hoarce	29	0	29	75.0	68.0	76.0
Elbia	0	58	58	34.0	30.0	36.0
Jesiree	0	7	7	16.0	16.0	16.0
Thurston	3025	0	3025	49.0	34.0	63.0
Cortlyn	5	100	105	18.0	16.0	20.0
Mizell	58	0	58	57.0	53.0	75.0
Kasiem	18	0	18	33.0	21.0	38.25
Puanani	0	67	67	35.0	28.5	39.0
Mabel	220	73236	73456	72.0	56.0	83.0
Japonica	0	45	45	36.0	26.0	41.0
Shimon	1368	0	1368	25.0	19.0	34.0
Kiyara	0	90	90	16.0	16.0	20.0
Kavona	0	12	12	19.0	15.0	23.0
Francellia	0	8	8	46.0	46.0	46.0
Mardith	0	5	5	74.0	74.0	74.0
Willy	2930	116	3046	40.0	25.0	55.0
Raisha	0	124	124	24.0	21.0	26.25
Ashden	10	16	26	22.0	20.0	26.0
Fabricio	257	0	257	20.0	17.0	29.0
Akaash	57	0	57	18.0	17.0	20.0
