startTime,endTime,type,value,unit,source,sourceIdentifier
2017-07-08T17:49:18+01:00,2017-07-08T17:59:17+01:00,HKQuantityTypeIdentifierStepCount,809,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:59:17+01:00,2017-07-08T18:07:25+01:00,HKQuantityTypeIdentifierStepCount,257,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:07:25+01:00,2017-07-08T18:13:25+01:00,HKQuantityTypeIdentifierStepCount,23,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:22:08+01:00,2017-07-08T18:23:40+01:00,HKQuantityTypeIdentifierStepCount,61,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:26:53+01:00,2017-07-08T18:27:16+01:00,HKQuantityTypeIdentifierStepCount,18,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:25:06+01:00,2017-07-08T15:26:15+01:00,HKQuantityTypeIdentifierStepCount,13,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:26:15+01:00,2017-07-08T15:27:16+01:00,HKQuantityTypeIdentifierStepCount,60,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:27:16+01:00,2017-07-08T15:28:28+01:00,HKQuantityTypeIdentifierStepCount,24,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:28:28+01:00,2017-07-08T15:38:26+01:00,HKQuantityTypeIdentifierStepCount,526,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:38:26+01:00,2017-07-08T15:48:25+01:00,HKQuantityTypeIdentifierStepCount,886,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:48:25+01:00,2017-07-08T15:58:23+01:00,HKQuantityTypeIdentifierStepCount,784,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T15:58:23+01:00,2017-07-08T16:08:21+01:00,HKQuantityTypeIdentifierStepCount,670,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:08:21+01:00,2017-07-08T16:09:22+01:00,HKQuantityTypeIdentifierStepCount,98,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:09:22+01:00,2017-07-08T16:10:24+01:00,HKQuantityTypeIdentifierStepCount,103,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:10:24+01:00,2017-07-08T16:11:25+01:00,HKQuantityTypeIdentifierStepCount,92,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:11:25+01:00,2017-07-08T16:12:26+01:00,HKQuantityTypeIdentifierStepCount,25,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:12:26+01:00,2017-07-08T16:13:27+01:00,HKQuantityTypeIdentifierStepCount,66,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:13:27+01:00,2017-07-08T16:14:29+01:00,HKQuantityTypeIdentifierStepCount,100,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:14:29+01:00,2017-07-08T16:15:30+01:00,HKQuantityTypeIdentifierStepCount,98,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:15:30+01:00,2017-07-08T16:16:31+01:00,HKQuantityTypeIdentifierStepCount,90,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:16:31+01:00,2017-07-08T16:17:33+01:00,HKQuantityTypeIdentifierStepCount,83,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:17:33+01:00,2017-07-08T16:18:34+01:00,HKQuantityTypeIdentifierStepCount,79,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:18:34+01:00,2017-07-08T16:19:35+01:00,HKQuantityTypeIdentifierStepCount,83,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:19:35+01:00,2017-07-08T16:20:37+01:00,HKQuantityTypeIdentifierStepCount,86,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:20:37+01:00,2017-07-08T16:21:38+01:00,HKQuantityTypeIdentifierStepCount,74,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:21:38+01:00,2017-07-08T16:22:40+01:00,HKQuantityTypeIdentifierStepCount,95,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:22:40+01:00,2017-07-08T16:23:41+01:00,HKQuantityTypeIdentifierStepCount,90,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:23:41+01:00,2017-07-08T16:24:42+01:00,HKQuantityTypeIdentifierStepCount,98,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:24:42+01:00,2017-07-08T16:25:44+01:00,HKQuantityTypeIdentifierStepCount,86,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:25:44+01:00,2017-07-08T16:26:45+01:00,HKQuantityTypeIdentifierStepCount,88,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:26:45+01:00,2017-07-08T16:27:46+01:00,HKQuantityTypeIdentifierStepCount,52,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
