startTime,endTime,type,value,unit,source,sourceIdentifier
2017-07-08T16:39:32+01:00,2017-07-08T16:49:29+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,229.5135707906447,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:49:29+01:00,2017-07-08T16:59:28+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,495.2503158422187,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T16:59:28+01:00,2017-07-08T17:09:26+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,516.2890507099219,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:09:26+01:00,2017-07-08T17:19:24+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,716.0241419123486,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:19:24+01:00,2017-07-08T17:29:22+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,546.0695932358503,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:29:22+01:00,2017-07-08T17:39:20+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,785.5553425736725,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:39:20+01:00,2017-07-08T17:49:18+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,846.4661420644261,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:49:18+01:00,2017-07-08T17:59:17+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,749.7713126963936,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T17:59:17+01:00,2017-07-08T18:07:25+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,220.0029622144066,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:07:25+01:00,2017-07-08T18:13:25+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,18.90121666202322,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:22:08+01:00,2017-07-08T18:23:40+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,51.33875544602051,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:26:53+01:00,2017-07-08T18:27:16+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,12.67789262579754,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:33:07+01:00,2017-07-08T18:34:09+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,99.96578525193036,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:34:09+01:00,2017-07-08T18:35:10+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,71.90000000037253,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:35:10+01:00,2017-07-08T18:36:12+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,37.66999999992549,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:36:12+01:00,2017-07-08T18:45:49+01:00,HKQuantityTypeIdentifierDistanceWalkingRunning,90.28927095793188,m,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:33:07+01:00,2017-07-08T18:34:09+01:00,HKQuantityTypeIdentifierStepCount,117,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:34:09+01:00,2017-07-08T18:35:10+01:00,HKQuantityTypeIdentifierStepCount,86,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:35:10+01:00,2017-07-08T18:36:12+01:00,HKQuantityTypeIdentifierStepCount,43,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T18:36:12+01:00,2017-07-08T18:45:49+01:00,HKQuantityTypeIdentifierStepCount,110,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:19:43+01:00,2017-07-08T19:21:53+01:00,HKQuantityTypeIdentifierStepCount,10,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:21:53+01:00,2017-07-08T19:22:55+01:00,HKQuantityTypeIdentifierStepCount,89,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:22:55+01:00,2017-07-08T19:25:05+01:00,HKQuantityTypeIdentifierStepCount,34,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:25:05+01:00,2017-07-08T19:27:21+01:00,HKQuantityTypeIdentifierStepCount,16,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:27:21+01:00,2017-07-08T19:29:17+01:00,HKQuantityTypeIdentifierStepCount,33,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:29:17+01:00,2017-07-08T19:30:52+01:00,HKQuantityTypeIdentifierStepCount,18,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:30:52+01:00,2017-07-08T19:36:41+01:00,HKQuantityTypeIdentifierStepCount,40,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:36:41+01:00,2017-07-08T19:37:43+01:00,HKQuantityTypeIdentifierStepCount,112,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:37:43+01:00,2017-07-08T19:38:44+01:00,HKQuantityTypeIdentifierStepCount,103,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:38:44+01:00,2017-07-08T19:39:46+01:00,HKQuantityTypeIdentifierStepCount,97,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
2017-07-08T19:39:46+01:00,2017-07-08T19:40:47+01:00,HKQuantityTypeIdentifierStepCount,104,count,iPhone,com.apple.health.7CD9D75D-4060-4AE8-8C1B-9E37227118FD
